Unique_Id,Id,ActivityDate,DayOfWeek,TotalSteps,TotalDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,TotalMinutesWorn,Calories,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
15039603664/12/2016,1503960366,4/12/2016,Tue,"13,162",8.50,1.88,0.55,6.06,0.00,25,13,328,728,1094,"1,985",1,327,346
15039603664/13/2016,1503960366,4/13/2016,Wed,"10,735",6.97,1.57,0.69,4.71,0.00,21,19,217,776,1033,"1,797",2,384,407
15039603664/14/2016,1503960366,4/14/2016,Thu,"10,460",6.74,2.44,0.40,3.91,0.00,30,11,181,1218,1440,"1,776",0,0,0
15039603664/15/2016,1503960366,4/15/2016,Fri,"9,762",6.28,2.14,1.26,2.83,0.00,29,34,209,726,998,"1,745",1,412,442
15039603664/16/2016,1503960366,4/16/2016,Sat,"12,669",8.16,2.71,0.41,5.04,0.00,36,10,221,773,1040,"1,863",2,340,367
15039603664/17/2016,1503960366,4/17/2016,Sun,"9,705",6.48,3.19,0.78,2.51,0.00,38,20,164,539,761,"1,728",1,700,712
15039603664/18/2016,1503960366,4/18/2016,Mon,"13,019",8.59,3.25,0.64,4.71,0.00,42,16,233,1149,1440,"1,921",0,0,0
15039603664/19/2016,1503960366,4/19/2016,Tue,"15,506",9.88,3.53,1.32,5.03,0.00,50,31,264,775,1120,"2,035",1,304,320
15039603664/20/2016,1503960366,4/20/2016,Wed,"10,544",6.68,1.96,0.48,4.24,0.00,28,12,205,818,1063,"1,786",1,360,377
15039603664/21/2016,1503960366,4/21/2016,Thu,"9,819",6.34,1.34,0.35,4.65,0.00,19,8,211,838,1076,"1,775",1,325,364
15039603664/22/2016,1503960366,4/22/2016,Fri,"12,764",8.13,4.76,1.12,2.24,0.00,66,27,130,1217,1440,"1,827",0,0,0
15039603664/23/2016,1503960366,4/23/2016,Sat,"14,371",9.04,2.81,0.87,5.36,0.00,41,21,262,732,1056,"1,949",1,361,384
15039603664/24/2016,1503960366,4/24/2016,Sun,"10,039",6.41,2.92,0.21,3.28,0.00,39,5,238,709,991,"1,788",1,430,449
15039603664/25/2016,1503960366,4/25/2016,Mon,"15,355",9.80,5.29,0.57,3.94,0.00,73,14,216,814,1117,"2,013",1,277,323
15039603664/26/2016,1503960366,4/26/2016,Tue,"13,755",8.79,2.33,0.92,5.54,0.00,31,23,279,833,1166,"1,970",1,245,274
15039603664/27/2016,1503960366,4/27/2016,Wed,"18,134",12.21,6.40,0.41,5.41,0.00,78,11,243,1108,1440,"2,159",0,0,0
15039603664/28/2016,1503960366,4/28/2016,Thu,"13,154",8.53,3.54,1.16,3.79,0.00,48,28,189,782,1047,"1,898",1,366,393
15039603664/29/2016,1503960366,4/29/2016,Fri,"11,181",7.15,1.06,0.50,5.58,0.00,16,12,243,815,1086,"1,837",1,341,354
